Position,Song,Artist,Country of Origin,Year
2,Hey Ya! ,Outkast , United States,2003
3,Seven Nation Army ,The White Stripes , United States,2003
4,(Baby I've Got You) On My Mind ,Powderfinger , Australia,2003
5,Clocks (Röyksopp Remix) ,Coldplay , United Kingdom and  Norway,2003
6,Hello ,The Cat Empire , Australia,2003
7,Sunsets ,Powderfinger , Australia,2003
8,Zebra ,John Butler Trio , Australia,2003
9,The Nosebleed Section ,Hilltop Hoods , Australia,2003
10,Love Your Way ,Powderfinger , Australia,2003
11,Déjà Vu ,Something for Kate , Australia,2003
12,Lighthouse - Original,The Waifs , Australia,2003
13,We Used To Be Friends ,The Dandy Warhols , United States,2003
14,The Hardest Button To Button ,The White Stripes , United States,2003
15,I Love Work ,Butterfingers , Australia,2003
16,Relapse ,Little Birdy , Australia,2003
17,Taylor ,Jack Johnson , United States,2003
18,Diamonds On The Inside ,Ben Harper , United States,2003
19,Rollover D.J.,Jet , Australia,2003
20,Feeler - Michael Brauer Mix,Pete Murray , Australia,2003
21,Armies Against Me ,Epicure , Australia,2003
22,Fortune Faded ,Red Hot Chili Peppers , United States,2003
23,Who's Gonna Save Us,The Living End , Australia,2003
24,The Horizon Has Been Defeated - Single Version,Jack Johnson , United States,2003
25,Baby Blue ,Little Birdy , Australia,2003
26,Russell Crowe's Band ,Frenzal Rhomb , Australia,2003
27,There's Always Someone Cooler Than You ,Ben Folds , United States,2003
28,Danger! High Voltage (Soulchild Radio Mix),Electric Six , United States,2003
29,With My Own Two Hands ,Ben Harper , United States,2003
30,The Bitter End ,Placebo , United Kingdom,2003
31,Time Is Running Out ,Muse , United Kingdom,2003
32,The Last High ,The Dandy Warhols , United States,2003
33,Gay Bar ,Electric Six , United States,2003
34,Everyone Deserves Music ,Michael Franti and Spearhead , United States,2003
35,Plastic Loveless Letter ,Magic Dirt , Australia,2003
36,Just Because ,Jane's Addiction , United States,2003
37,Days Like These ,The Cat Empire , Australia,2003
38,Everytime ,Butterfingers , Australia,2003
39,Coming Home ,Alex Lloyd , Australia,2003
40,Times Like These ,Jack Johnson , United States,2003
41,Black Bird ,The Beautiful Girls , Australia,2003
42,Stockholm Syndrome ,Muse , United Kingdom,2003
43,12:51,The Strokes , United States,2003
44,Dumb Enough ,Hilltop Hoods , Australia,2003
45,Weak and Powerless ,A Perfect Circle , United States,2003
46,77 %,The Herd , Australia,2003
47,Bomb The World ,Michael Franti and Spearhead , United States,2003
48,"There, There ",Radiohead , United Kingdom,2003
49,2 + 2 = 5 ,Radiohead , United Kingdom,2003
50,Fisherman's Daughter - Original,The Waifs , Australia,2003
51,Sista - Live,John Butler Trio , Australia,2003
52,Just Pretend - E.P. Version,The Bens , United States,2003
53,Feeling This ,Blink-182 , United States,2003
54,Let Me Be ,Xavier Rudd , Australia,2003
55,Greed For Your Love - EP Version,Missy Higgins , Australia,2003
56,Franco Un-American ,NOFX , United States,2003
57,Work It ,Missy Elliott , United States,2003
58,The Leaving Song Pt. II ,AFI , United States,2003
59,So Entertaining (Album Version),Gus and Frank , Australia,2003
60,Watch Out Boys ,Magic Dirt , Australia,2003
61,St. Anger ,Metallica , United States,2003
62,Music ,The Beautiful Girls , Australia,2003
63,Song for a Sleepwalker ,Something for Kate , Australia,2003
64,"Step Into My Office, Baby ",Belle and Sebastian , United Kingdom,2003
65,Something White and Sigmund ,Andromeda , Australia,2003
66,Tabloid Magazine ,The Living End , Australia,2003
67,Lovesong ,Amiel , Australia,2003
68,One Second Of Insanity ,The Butterfly Effect , Australia,2003
69,Hysteria ,Muse , United Kingdom,2003
70,The Outsider ,A Perfect Circle , United States,2003
71,Girl's Not Grey ,AFI , United States,2003
72,Running Up That Hill ,Placebo , United Kingdom,2003
73,Life Sentence ,Epicure , Australia,2003
74,Look Good In Leather ,Cody Chesnutt , United States,2003
75,The Seed (2.0) ,The Roots featuring Cody Chesnutt , United States,2003
76,Rockin’ Rocks ,Powderfinger , Australia,2003
77,Stumblin' ,Powderfinger , Australia,2003
78,Who's Ya Daddy? ,Gerling , Australia,2003
79,Milkshake ,Kelis , United States,2003
80,Satisfaction - Original,Benny Benassi , Italy,2003
81,The Golden Path ,The Chemical Brothers featuring The Flaming Lips , United Kingdom and  United States,2003
82,Good Luck ,Basement Jaxx featuring Lisa Kekaula , United Kingdom and  United States,2003
83,Reptilia ,The Strokes , United States,2003
84,We Don't Play Guitars ,Chicks on Speed featuring Peaches , Germany and  Canada,2003
85,Pass That Dutch ,Missy Elliott , United States,2003
86,Lines ,Pete Murray , Australia,2003
87,Move Your Feet ,Junior Senior , Denmark,2003
88,Voices in My Head ,Machine Gun Fellatio , Australia,2003
89,"Girl, You Have No Faith In Medicine ",The White Stripes , United States,2003
90,Break It Down James Brown,Offcutts , Australia,2003
91,Vampire Racecourse ,The Sleepy Jackson , Australia,2003
92,Doctor Doctor ,Gyroscope , Australia,2003
93,I Just Don't Know What to Do With Myself ,The White Stripes , United States,2003
94,"In The Cold, Cold Night ",The White Stripes , United States,2003
95,Special Needs ,Placebo , United Kingdom,2003
96,Man of Constant Sorrow - KraaK & Smaak Remix,Skeewiff , United Kingdom,2003
97,Growing on Me ,The Darkness , United Kingdom,2003
98,Out of Time ,Blur , United Kingdom,2003
99,Inertiatic Esp,The Mars Volta , United States,2003
100,The Chariot ,The Cat Empire , Australia,2003
1,No One Knows ,Queens of the Stone Age , United States,2002
2,Chemical Heart ,Grinspoon , Australia,2002
3,London Still - Original,The Waifs , Australia,2002
4,Karma ,1200 Techniques , Australia,2002
5,Get Free ,The Vines , Australia,2002
6,Rollercoaster ,Machine Gun Fellatio , Australia,2002
7,Lose Yourself - Soundtrack Version,Eminem , United States,2002
8,Pussy Town ,Machine Gun Fellatio , Australia,2002
9,By the Way ,Red Hot Chili Peppers , United States,2002
10,The Greatest View ,Silverchair , Australia,2002
11,The One ,Foo Fighters , United States,2002
12,You Know You're Right ,Nirvana , United States,2002
13,All My Life ,Foo Fighters , United States,2002
14,Lost Control ,Grinspoon , Australia,2002
15,No Reason ,Grinspoon , Australia,2002
16,The Zephyr Song ,Red Hot Chili Peppers , United States,2002
17,Without Me ,Eminem , United States,2002
18,Toxicity ,System of a Down , United States,2002
19,Highly Evolved ,The Vines , Australia,2002
20,Cochise ,Audioslave , United States,2002
21,Outtathaway,The Vines , Australia,2002
22,"Something Borrowed, Something Blue ",Ben Lee , Australia,2002
23,Times Like These - Live,Foo Fighters , United States,2002
24,Keep Fishin' ,Weezer , United States,2002
25,Without You ,Silverchair , Australia,2002
26,6.66,Salmon Hater , Australia,2002
27,Home Is Where The Heart Is ,John Butler Trio , Australia,2002
28,I Am Mine ,Pearl Jam , United States,2002
29,Carry On ,Motor Ace , Australia,2002
30,Ms. Jackson ,The Vines , Australia,2002
31,One In A Million ,Bodyjar , Australia,2002
32,Release ,George , Australia,2002
33,Hate To Say I Told You So ,The Hives , Sweden,2002
34,Comfort Me ,Pacifier , New Zealand,2002
35,Luv Your Life ,Silverchair , Australia,2002
36,here comes september ,Waikiki , Australia,2002
37,Aerials ,System of a Down , United States,2002
38,The Bold And The Beautiful ,The Drugs , Australia,2002
39,In My Place ,Coldplay , United Kingdom,2002
40,Fall for You - Single Mix,The Whitlams , Australia,2002
41,What's the Deal? ,28 Days , Australia,2002
42,Don't Mug Yourself ,The Streets , United Kingdom,2002
43,Breaking It Slowly ,George , Australia,2002
44,God Is In The Radio ,Queens of the Stone Age , United States,2002
45,Punk's Not Dead ,Darren Hanlon , Australia,2002
46,Rockstar ,N.E.R.D , United States,2002
47,1000 Miles ,Grinspoon , Australia,2002
48,Go With The Flow ,Queens of the Stone Age , United States,2002
49,What's Golden ,Jurassic 5 , United States,2002
50,You Give Me Something ,Jamiroquai , United Kingdom,2002
51,Down River ,The Wilcannia Mob , Australia,2002
52,One Said to the Other ,The Living End , Australia,2002
53,Get Me Off ,Basement Jaxx , United Kingdom,2002
54,Do It With Madonna ,The Androids , Australia,2002
55,Disenchanted Lullaby ,Foo Fighters , United States,2002
56,First It Giveth ,Queens of the Stone Age , United States,2002
57,Love Foolosophy - Radio Edit,Jamiroquai , United Kingdom,2002
58,Hitting the Ground ,PJ Harvey and Gordon Gano , United Kingdom,2002
59,Take It Slow ,Machine Gun Fellatio , Australia,2002
60,A Little Less Conversation - JXL Radio Edit Remix,JXL vs. Elvis Presley , Netherlands and  United States,2002
61,We Are All Made Of Stars ,Moby , United States,2002
62,Across the Night ,Silverchair , Australia,2002
63,Say Something ,Something for Kate , Australia,2002
64,Shot Shot ,Gomez , United Kingdom,2002
65,Nobody Likes a Bogan ,Area-7 , Australia,2002
66,This Train Will Be Taking No Passengers ,Augie March , Australia,2002
67,new technology ,Waikiki , Australia,2002
68,Whatever Happened To My Rock 'N' Roll (Punk Song) ,Black Rebel Motorcycle Club , United States,2002
69,Clocks ,Coldplay , United Kingdom,2002
70,Bucket Bong ,Frenzal Rhomb , Australia,2002
71,Do Your Thing ,Basement Jaxx , United Kingdom,2002
72,Show Me How to Live ,Audioslave , United States,2002
73,Dope Nose ,Weezer , United States,2002
74,I'm a DJ ,Sonic Animation , Australia,2002
75,Dy-Na-Mi-Tee ,Ms. Dynamite , United Kingdom,2002
76,World Upon Your Shoulders ,Silverchair , Australia,2002
77,Has It Come to This? ,The Streets , United Kingdom,2002
78,Something To Talk About ,Badly Drawn Boy , United Kingdom,2002
79,Who Put The Devil In You ,You Am I , Australia,2002
80,Highway One - Original,The Waifs , Australia,2002
81,"You Think I Ain't Worth a Dollar, But I Feel Like a Millionaire ",Queens of the Stone Age , United States,2002
82,Strawberry Fields Forever ,Ben Harper , United States,2002
83,Take Me Away ,28 Days , Australia,2002
84,Little By Little ,Oasis , United Kingdom,2002
85,Star Guitar ,The Chemical Brothers , United Kingdom,2002
86,Cleanin' Out My Closet ,Eminem , United States,2002
87,Innervision ,System of a Down , United States,2002
88,Everything's Gone Bad ,The Fergusons , Australia,2002
89,Purple Haze ,Groove Armada , United Kingdom,2002
90,Silent Sigh ,Badly Drawn Boy , United Kingdom,2002
91,Being Followed ,Rocket Science , Australia,2002
92,Called ,Antiskeptic , Australia,2002
93,A Sorta Fairytale ,Tori Amos , United States,2002
94,Arse Huggin' Pants ,Spiderbait , Australia,2002
95,She Wears a Mask ,Machine Translations , Australia,2002
96,Lies ,The Waifs , Australia,2002
97,Electrical Storm - William Orbit Mix,U2 , Ireland,2002
98,Shock (Living Without You) ,Cartman , Australia,2002
99,Too Drunk to Drive - Live,Bodyjar , Australia,2002
100,A Rush Of Blood To The Head ,Coldplay , United Kingdom,2002
1,Amazing ,Alex Lloyd , Australia,2001
2,Monsters ,Something for Kate , Australia,2001
3,Chop Suey! ,System of a Down , United States,2001
4,Where's Your Head At ,Basement Jaxx , United Kingdom,2001
5,Betterman - Live,John Butler Trio , Australia,2001
6,Smooth Criminal ,Alien Ant Farm , United States,2001
7,Island In The Sun ,Weezer , United States,2001
8,Since I Left You ,The Avalanches , Australia,2001
9,Clint Eastwood ,Gorillaz , United Kingdom,2001
10,Short Skirt / Long Jacket ,Cake , United States,2001
11,Cherry Lips (Go Baby Go) ,Garbage , United States,2001
12,Last Nite ,The Strokes , United States,2001
13,Three Dimensions ,Something for Kate , Australia,2001
14,Schism ,Tool , United States,2001
15,19-2000 ,Gorillaz , United Kingdom,2001
16,Say What? ,28 Days and Apollo 440 , Australia and  United Kingdom,2001
17,Rockin' the Suburbs ,Ben Folds , United States,2001
18,Renegades Of Funk ,Rage Against the Machine , United States,2001
19,Special Ones ,George , Australia,2001
20,Hash Pipe ,Weezer , United States,2001
21,Weapon Of Choice ,Fatboy Slim , United Kingdom,2001
22,The Drugs Don't Work - Live,Ben Harper , United States,2001
23,This Mess We're In ,PJ Harvey and Thom Yorke , United Kingdom,2001
24,Dust Me Selecta ,Gerling , Australia,2001
25,Wake Up ,Eskimo Joe , Australia,2001
26,Little L ,Jamiroquai , United Kingdom,2001
27,Fat Cop ,Regurgitator , Australia,2001
28,Fall Down ,Jebediah , Australia,2001
29,Take ,John Butler Trio , Australia,2001
30,The Girl Of My Dreams (is Giving Me Nightmares) ,Machine Gun Fellatio , Australia,2001
31,Planet Earth ,Eskimo Joe , Australia,2001
32,Special K ,Placebo , United Kingdom,2001
33,Getting Away With It (All Messed Up) ,James , United Kingdom,2001
34,Who Sold Her Out ,Eskimo Joe , Australia,2001
35,Thank You ,Dido , United Kingdom,2001
36,Pyramid Song ,Radiohead , United Kingdom,2001
37,Twenty Years ,Something for Kate , Australia,2001
38,Crystal ,New Order , United Kingdom,2001
39,Cocaine ,The Cruel Sea , Australia,2001
40,Elevation (Tomb Raider Remix) ,U2 , Ireland,2001
41,Superstraight ,Regurgitator , Australia,2001
42,Duffy's Song (I Will Not Go Quietly) ,The Whitlams , Australia,2001
43,Souljacker Part I ,Eels , United States,2001
44,Androgyny ,Garbage , United States,2001
45,Strange Little Girl ,Tori Amos , United States,2001
46,Untitled ,The Smashing Pumpkins , United States,2001
47,There Is No Such Place ,Augie March , Australia,2001
48,Superstylin' ,Groove Armada , United Kingdom,2001
49,Parabola ,Tool , United States,2001
50,Just the Thing ,Paul Mac , Australia,2001
51,Fifteen Feet of Pure White Snow - 2011 - Remaster,Nick Cave and the Bad Seeds , Australia,2001
52,"Man, It's So Loud In Here ",They Might Be Giants , United States,2001
53,Hey Driver ,Motor Ace , Australia,2001
54,The Rock Show ,Blink-182 , United States,2001
55,One Step Closer ,Linkin Park , United States,2001
56,Kick A Hole In The Sky ,You Am I , Australia,2001
57,Get Up ,You Am I , Australia,2001
58,The Middle,Jimmy Eat World , United States,2001
59,Hard To Explain ,The Strokes , United States,2001
60,Pattern Against User ,At the Drive-In , United States,2001
61,One More Time ,Daft Punk , France,2001
62,You Give Me Something ,Jamiroquai , United Kingdom,2001
63,Downtown ,Alex Lloyd , Australia,2001
64,Hotel Yorba ,The White Stripes , United States,2001
65,Burn Baby Burn ,Ash , United Kingdom,2001
66,New York City Cops ,The Strokes , United States,2001
67,Not the Same ,Ben Folds , United States,2001
68,Making the Nouveau Riche ,Blueline Medic , Australia,2001
69,Up All Night ,Unwritten Law , United States,2001
70,Links 2 3 4,Rammstein , Germany,2001
71,Outta My Head ,Spiderbait , Australia,2001
72,Carry Me Home,The Living End , Australia,2001
73,Plug In Baby ,Muse , United Kingdom,2001
74,Knives Out ,Radiohead , United Kingdom,2001
75,My Friend ,Groove Armada , United Kingdom,2001
76,Radio ,The Avalanches , Australia,2001
77,Hibernate ,Big Heavy Stuff , Australia,2001
78,A Simple Goodbye ,The Cruel Sea , Australia,2001
79,Imitation of Life ,R.E.M. , United States,2001
80,Bliss ,Muse , United Kingdom,2001
81,Butterfly ,Crazy Town , United States,2001
82,Home Entertainment System ,Lazaro's Dog , Australia,2001
83,Shining Light ,Ash , United Kingdom,2001
84,Starlight (Original Version),The Supermen Lovers , France,2001
85,Invalid Litter Dept. ,At the Drive-In , United States,2001
86,Light on Your Shoulder ,Rhubarb , Australia,2001
87,Rock The Nation ,Michael Franti and Spearhead , United States,2001
88,Four On The Floor ,Spiderbait , Australia,2001
89,New Born ,Muse , United Kingdom,2001
90,60 Miles an Hour ,New Order , United Kingdom,2001
91,Fat Lip ,Sum 41 , Canada,2001
92,Run ,George , Australia,2001
93,The Shame of Life ,Butthole Surfers , United States,2001
94,I Feel Loved ,Depeche Mode , United Kingdom,2001
95,Little Things ,Good Charlotte , United States,2001
96,Fuck Authority ,Pennywise , United States,2001
97,Step Back ,Superheist , Australia,2001
98,We Come 1 - Radio Edit,Faithless , United Kingdom,2001
99,It Began In Afrika ,The Chemical Brothers , United Kingdom,2001
100,Sex and Violence ,Endorphin , Australia,2001
1,My Happiness ,Powderfinger , Australia,2000
2,Beautiful Day ,U2 , Ireland,2000
3,My Kind Of Scene ,Powderfinger , Australia,2000
4,Teenage Dirtbag - Explicit Album Version,Wheatus , United States,2000
5,Yellow ,Coldplay , United Kingdom,2000
6,Frontier Psychiatrist ,The Avalanches , Australia,2000
7,Californication ,Red Hot Chili Peppers , United States,2000
8,Generator ,Foo Fighters , United States,2000
9,Every Fucking City ,Paul Kelly , Australia,2000
10,Bohemian Like You ,The Dandy Warhols , United States,2000
11,Rip It Up ,28 Days , Australia,2000
12,Dirty Jeans ,Magic Dirt , Australia,2000
13,Sleep Now In The Fire ,Rage Against the Machine , United States,2000
14,Minority ,Green Day , United States,2000
15,Teenager Of The Year ,Lo-Tel , Australia,2000
16,Unsent Letter ,Machine Gun Fellatio , Australia,2000
17,Gravity ,The Superjesus , Australia,2000
18,Stacked Actors ,Foo Fighters , United States,2000
19,Pictures in the Mirror ,The Living End , Australia,2000
20,Not The Same ,Bodyjar , Australia,2000
21,My Generation ,Limp Bizkit , United States,2000
22,Porcelain ,Moby , United States,2000
23,Damage ,You Am I , Australia,2000
24,Freestyler ,Bomfunk MC's , Finland,2000
25,Pacifier ,Shihad , New Zealand,2000
26,Mr. E's Beautiful Blues ,Eels , United States,2000
27,Take A Look Around ,Limp Bizkit , United States,2000
28,Bastard Son (Lunar Mix) ,George , Australia,2000
29,Sour Girl ,Stone Temple Pilots , United States,2000
30,Please Leave ,Jebediah , Australia,2000
31,Why Does It Always Rain On Me? ,Travis , United Kingdom,2000
32,Groovejet - If This Ain't Love (Radio Edit),Spiller , Italy,2000
33,Rock Show (You Don't Know Me),Grinspoon , Australia,2000
34,Judith ,A Perfect Circle , United States,2000
35,We Haven't Turned Around ,Gomez , United Kingdom,2000
36,(Rock) Superstar ,Cypress Hill , United States,2000
37,Thank You (For Loving Me At My Worst) ,The Whitlams , Australia,2000
38,Machismo ,Gomez , United Kingdom,2000
39,Taste In Men ,Placebo , United Kingdom,2000
40,Last Resort ,Papa Roach , United States,2000
41,Penguins & Polarbears ,Millencolin , Sweden,2000
42,Everything In Its Right Place ,Radiohead , United Kingdom,2000
43,Sunset (Bird Of Prey) ,Fatboy Slim , United Kingdom,2000
44,Daddy I'm Fine ,Sinéad O'Connor , Ireland,2000
45,The Time Is Now ,Moloko , United Kingdom,2000
46,Take a Picture ,Filter , United States,2000
47,Slave To The Wage ,Placebo , United Kingdom,2000
48,Crush the Losers ,Regurgitator , Australia,2000
49,Get Off ,The Dandy Warhols , United States,2000
50,Naughty - original,Skulker , Australia,2000
51,Original Prankster ,The Offspring , United States,2000
52,Sucker ,28 Days , Australia,2000
53,Wasting My Life ,The Hippos , United States,2000
54,Man Overboard ,Blink-182 , United States,2000
55,The Great Beyond ,R.E.M. , United States,2000
56,I Love You But ,Friendly , Australia,2000
57,I See You Baby ,Groove Armada , United Kingdom,2000
58,Give Up Your Day Job ,The Fauves , Australia,2000
59,Beautiful Sharks ,Something for Kate , Australia,2000
60,No Man's Woman ,Sinead O'Connor , Ireland,2000
61,Spawn ,George , Australia,2000
62,Fast As You Can ,Fiona Apple , United States,2000
63,Shiver ,Coldplay , United Kingdom,2000
64,Black Jesus ,Everlast , United States,2000
65,American Shoes ,Motor Ace , Australia,2000
66,Fall To The Ground ,Bodyjar , Australia,2000
67,Mutha Fukka on a Motorcycle ,Machine Gun Fellatio , Australia,2000
68,Heaven Is a Halfpipe (If I Die),OPM , United States,2000
69,Responsibility ,MxPx , United States,2000
70,Superman/Supergirl ,Killing Heidi , Australia,2000
71,Nothing's Wrong ,Frenzal Rhomb , Australia,2000
72,"I Know, You Know, I Know ",Tex Perkins , Australia,2000
73,Secrets ,Grinspoon , Australia,2000
74,One More Time (The Sunshine Song) ,Groove Terminator , Australia,2000
75,Wait and Bleed ,Slipknot , United States,2000
76,Bottles To The Ground ,NOFX , United States,2000
77,Maria ,Rage Against the Machine , United States,2000
78,Stand Inside Your Love ,The Smashing Pumpkins , United States,2000
79,No Leaf Clover ,Metallica , United States,2000
80,Hej - Original,Skulker , Australia,2000
81,Make Me Bad ,Korn , United States,2000
82,Sunburn ,Muse , United Kingdom,2000
83,Kick In The Door ,Skunkhour , Australia,2000
84,I Disappear ,Metallica , United States,2000
85,"Nothing As It Seems - Key Arena, Seattle, WA 10/22/2001",Pearl Jam , United States,2000
86,Hello Cruel World ,Klinger , Australia,2000
87,Music ,Madonna , United States,2000
88,Rome Wasn't Built In A Day ,Morcheeba , United Kingdom,2000
89,Work It Out ,Brassy , United Kingdom,2000
90,Good Fortune ,PJ Harvey , United Kingdom,2000
91,Start Making Sense ,Area-7 , Australia,2000
92,Live Without It ,Killing Heidi , Australia,2000
93,Set the Record Straight ,Reef , United Kingdom,2000
94,The Ground Beneath Her Feet ,U2 , Ireland,2000
95,Renegades Of Funk ,Rage Against the Machine , United States,2000
96,Paint Pastel Princess ,Silverchair , Australia,2000
97,Ben Lee ,Klinger , Australia,2000
98,Death Defy ,Motor Ace , Australia,2000
99,Who the Hell Are You? (Original Mix Edit),Madison Avenue , Australia,2000
100,Warning ,Green Day , United States,2000
1,These Days ,Powderfinger , Australia,1999
2,Weir ,Killing Heidi , Australia,1999
3,You Shit Me to Tears ,The Tenants , Australia,1999
4,Praise You ,Fatboy Slim , United Kingdom,1999
5,Every You Every Me ,Placebo , United Kingdom,1999
6,The Bad Touch ,Bloodhound Gang , United States,1999
7,Guerrilla Radio ,Rage Against the Machine , United States,1999
8,Nookie ,Limp Bizkit , United States,1999
9,Last Kiss ,Pearl Jam , United States,1999
10,Scar Tissue ,Red Hot Chili Peppers , United States,1999
11,Learn to Fly ,Foo Fighters , United States,1999
12,When I Grow Up ,Garbage , United States,1999
13,What's My Age Again? ,Blink-182 , United States,1999
14,Mascara ,Killing Heidi , Australia,1999
15,Ana's Song (Open Fire) ,Silverchair , Australia,1999
16,Freak On A Leash ,Korn , United States,1999
17,Falling Away from Me ,Korn , United States,1999
18,Theophilus Thistler (An Exercise in Vowels) ,Sonic Animation , Australia,1999
19,Animal ,Jebediah , Australia,1999
20,Exerciser ,Rhubarb , Australia,1999
21,Lucky Star ,Alex Lloyd , Australia,1999
22,Don't Call Me Baby ,Madison Avenue , Australia,1999
23,"Right Here, Right Now ",Fatboy Slim , United Kingdom,1999
24,I Try ,Macy Gray , United States,1999
25,Already Gone ,Powderfinger , Australia,1999
26,Never Had So Much Fun ,Frenzal Rhomb , Australia,1999
27,Hey Boy Hey Girl ,The Chemical Brothers , United Kingdom,1999
28,Feet Touch The Ground ,Jebediah , Australia,1999
29,Anthem for the Year 2000 ,Silverchair , Australia,1999
30,Miss You Love ,Silverchair , Australia,1999
31,All The Small Things ,Blink-182 , United States,1999
32,Heaven Coming Down ,The Tea Party , Canada,1999
33,Ready 1 ,Grinspoon , Australia,1999
34,You Are Not My Friend ,Frenzal Rhomb , Australia,1999
35,Bevan: The Musical ,Peter Helliar , Australia,1999
36,A Hazy Shade of Winter ,Bodyjar , Australia,1999
37,Around the World ,Red Hot Chili Peppers , United States,1999
38,Chunky Chunky Air Guitar ,The Whitlams , Australia,1999
39,Turn Up Your Stereo ,Eskimo Joe , Australia,1999
40,Shazam! ,Spiderbait , Australia,1999
41,All Torn Down ,The Living End , Australia,1999
42,Ringo (I Feel Like) ,Custard , Australia,1999
43,Emotion Sickness ,Silverchair , Australia,1999
44,Electricity ,Something for Kate , Australia,1999
45,Enter Spacecapsule By Gerling ,Gerling , Australia,1999
46,The Chemicals Between Us ,Bush , United Kingdom,1999
47,Coffee & TV ,Blur , United Kingdom,1999
48,West End Riot ,The Living End , Australia,1999
49,Second Class Citizen ,Area-7 , Australia,1999
50,Bigger Than Tina ,The Fauves , Australia,1999
51,Army ,Ben Folds Five , United States,1999
52,It Won't Last ,The Cruel Sea , Australia,1999
53,Sexx Laws ,Beck , United States,1999
54,Thank You (For Loving Me At My Worst) ,The Whitlams , Australia,1999
55,Perfect Family ,Diana Ah Naid , Australia,1999
56,No Leaf Clover ,Metallica , United States,1999
57,Tender ,Blur , United Kingdom,1999
58,I Want to Be a Nudist ,Regurgitator , Australia,1999
59,Mutha Fukka on a Motorcycle ,Machine Gun Fellatio , Australia,1999
60,Touched ,VAST , United States,1999
61,Asleep In Perfection ,Augie March , Australia,1999
62,Happiness,Regurgitator , Australia,1999
63,Canned Heat ,Jamiroquai , United Kingdom,1999
64,We're Going Out Tonight ,Frenzal Rhomb , Australia,1999
65,Burn To Shine ,Ben Harper , United States,1999
66,Turn That Shit Up ,Testeagles , Australia,1999
67,Beautiful Stranger ,Madonna , United States,1999
68,Good Day Ray ,Powderfinger , Australia,1999
69,"Starfuckers, Inc. ",Nine Inch Nails , United States,1999
70,Whatever You Want ,Something for Kate , Australia,1999
71,Pulled Along By Love ,The Mutton Birds , New Zealand,1999
72,Hallways ,Something for Kate , Australia,1999
73,Pumping On Your Stereo ,Supergrass , United Kingdom,1999
74,Deeper Water ,deadstar , Australia,1999
75,Some Kind of Love Song ,Friendly , Australia,1999
76,What It's Like [Explicit Version],Everlast , United States,1999
77,Sun Is Shining (Blackburner Remix),Bob Marley and Funkstar De Luxe , Jamaica/ Denmark,1999
78,My Favourite Game ,The Cardigans , Sweden,1999
79,Bodyrock ,Moby , United States,1999
80,Sing It Back ,Moloko , United Kingdom,1999
81,Nothing Much Happens ,Ben Lee , Australia,1999
82,Home ,Skunkhour , Australia,1999
83,Hit Song ,Custard , Australia,1999
84,Stevie ,Spiderbait , Australia,1999
85,Steal My Kisses ,Ben Harper , United States,1999
86,Blue Monday ,Orgy , United States,1999
87,You Don't Care About Us ,Placebo , United Kingdom,1999
88,Run On ,Moby , United States,1999
89,Nice Guys Finish Last ,Green Day , United States,1999
90,Stripped ,Rammstein , Germany,1999
91,Down Under ,Pennywise , United States,1999
92,Sex-o-matic Venus Freak ,Macy Gray , United States,1999
93,Waltz #2 (XO) ,Elliott Smith , United States,1999
94,Spray Water on the Stereo ,Turnstyle , Australia,1999
95,The Order of Death (Blair Witch Mix) ,Public Image Ltd , United Kingdom,1999
96,Plastic ,Spiderbait , Australia,1999
97,The Kids Aren't Alright ,The Offspring , United States,1999
98,Every Morning ,Sugar Ray , United States,1999
99,Ruby Wednesday ,Eskimo Joe , Australia,1999
100,Passenger ,Powderfinger , Australia,1999
6,! (The Song Formerly Known As) ,Regurgitator , Australia,1998
16,Addicted To Bass ,Josh Abrahams and Amiel Daemion , Australia,1998
45,Ava Adore ,The Smashing Pumpkins , United States,1998
80,Bad Old Man ,Babybird , United Kingdom,1998
98,Baker Street ,Foo Fighters , United States,1998
91,Benedict ,Jebediah , Australia,1998
32,Black Bugs ,Regurgitator , Australia,1998
22,Black Friday ,Grinspoon , Australia,1998
97,Black Umbrella ,Even , Australia,1998
12,Brick ,Ben Folds Five , United States,1998
19,Bubblegoose ,Wyclef Jean , United States,1998
37,Buy Now Pay Later (Charlie No.2) ,The Whitlams , Australia,1998
4,Celebrity Skin ,Hole , United States,1998
56,Charlie No. 3 ,The Whitlams , Australia,1998
2,Cigarettes Will Kill You ,Ben Lee , Australia,1998
69,Cinnamon Lip ,Pollyanna , Australia,1998
64,Come On Spring ,Antenna , Australia,1998
61,Cry ,The Mavis's , Australia,1998
47,Do the Evolution ,Pearl Jam , United States,1998
13,Doctor Worm ,They Might Be Giants , United States,1998
79,Don't Go Away ,Grinspoon , Australia,1998
46,Don't Wanna Be Left Out ,Powderfinger , Australia,1998
28,Don't You Know Who I Am? ,Happyland , Australia,1998
75,Dragula ,Rob Zombie , United States,1998
81,Drinking in L.A. ,Bran Van 3000 , Canada,1998
82,El President ,Drugstore , United Kingdom,1998
68,Every Day Should Be A Holiday ,The Dandy Warhols , United States,1998
29,Everybody Here Wants You ,Jeff Buckley , United States,1998
53,Father of Mine ,Everclear , United States,1998
35,Flagpole Sitta ,Harvey Danger , United States,1998
77,Fuel ,Metallica , United States,1998
3,Girls Like That (Don't Go for Guys Like Us) ,Custard , Australia,1998
51,Given to Fly ,Pearl Jam , United States,1998
62,Gone Away ,The Offspring , United States,1998
